date,case,matched_after,both_clients,roa_clients,rov_clients,neither_clients
2024-02-19-00,RoVISTA,0.5077093855666089,0.030935260668973785,0.6513583045177419,0.04288778612686615,0.27481864868641814
2024-02-20-00,RoVISTA,0.5081167725107469,0.03346055334611167,0.6222360788625821,0.04727636871671723,0.29702699907458896
2024-02-21-00,RoVISTA,0.5090781070427957,0.03356979300334837,0.6240940400373213,0.04736675470793617,0.2949694122513942
2024-02-22-00,RoVISTA,0.5096431435789373,0.03301858611278006,0.6281562362319558,0.04702011312449284,0.29180506453077115
2024-02-23-00,RoVISTA,0.5100467658803778,0.035145545138549686,0.6138520512227065,0.04887450678215509,0.3021278968565887
2024-02-24-00,RoVISTA,0.5067982511933022,0.03601124853943649,0.6044306583432809,0.05027622580531292,0.3092818673119697
2024-02-25-00,RoVISTA,0.5072923193731328,0.03562481663331619,0.6078832872953092,0.04984893638254685,0.3066429596888276
2024-02-26-00,RoVISTA,0.5066327826198584,0.03636331621046762,0.5998308054023549,0.050799095696655375,0.31300678269052185
2024-02-27-00,RoVISTA,0.5066950381774488,0.03620455727990307,0.6002498593171889,0.05078356106264778,0.3127620223402603
2024-02-28-00,RoVISTA,0.5162735289204611,0.036489929728059464,0.6019048217693863,0.05050692390071457,0.3110983246018397
2024-02-29-00,RoVISTA,0.5161813072050849,0.03698669791632854,0.6033712709067988,0.05084634104752211,0.3087956901293507
