date,case,matched_after,both_clients,roa_clients,rov_clients,neither_clients
2024-03-26-00,RoVISTA,0.545685648604575,0.032928689069210954,0.6581588377840156,0.040680136879421326,0.2682323362673521
2024-03-27-00,RoVISTA,0.5456148985916646,0.034497771710541004,0.6537498003581044,0.041200384366855344,0.27055204356449936
2024-03-28-00,RoVISTA,0.5469250460595757,0.03410749350767652,0.6559919335949344,0.04010320939994764,0.26979736349744166
2024-03-29-00,RoVISTA,0.547095435282628,0.03356054973936553,0.6544594522397047,0.04008651309696665,0.2718934849239633
2024-03-30-00,RoVISTA,0.5473894635881166,0.03328930914846391,0.6570704258910997,0.03986682101922883,0.2697734439412076
2024-03-31-00,RoVISTA,0.5477605267684021,0.03400728674356611,0.6491951307870454,0.040985321833701724,0.2758122606356867
