date,case,matched_after
2024-02-01-00,RoVISTA,0.49925653911606166
2024-02-02-00,RoVISTA,0.4593832471855326
2024-02-03-00,RoVISTA,0.4683583667010793
2024-02-04-00,RoVISTA,0.4683412987448626
2024-02-05-00,RoVISTA,0.46812509395590246
2024-02-06-00,RoVISTA,0.46871508125725575
2024-02-07-00,RoVISTA,0.46944580291729604
2024-02-08-00,RoVISTA,0.4701934843548724
2024-02-09-00,RoVISTA,0.47054498665597627
2024-02-10-00,RoVISTA,0.4704854649697049
2024-02-11-00,RoVISTA,0.4711335846093843
2024-02-12-00,RoVISTA,0.4706963878563596
2024-02-13-00,RoVISTA,0.47443877908388743
2024-02-14-00,RoVISTA,0.47348050962827654
2024-02-15-00,RoVISTA,0.47392464971145876
2024-02-16-00,RoVISTA,0.47233611969010003
2024-02-17-00,RoVISTA,0.49457816314573205
2024-02-18-00,RoVISTA,0.49602517471315566
2024-02-19-00,RoVISTA,0.5077093855666089
2024-02-20-00,RoVISTA,0.5081167725107469
2024-02-21-00,RoVISTA,0.5090781070427957
2024-02-22-00,RoVISTA,0.5096431435789373
2024-02-23-00,RoVISTA,0.5100467658803778
2024-02-24-00,RoVISTA,0.5067982511933022
2024-02-25-00,RoVISTA,0.5072923193731328
2024-02-26-00,RoVISTA,0.5066327826198584
2024-02-27-00,RoVISTA,0.5066950381774488
