date,case,matched_after
2024-01-01-00,RoVISTA,0.454369
2024-01-02-00,RoVISTA,0.45717958373338746
2024-01-03-00,RoVISTA,0.45664678009378606
2024-01-04-00,RoVISTA,0.45454643502508557
2024-01-05-00,RoVISTA,0.4545985532641416
2024-01-06-00,RoVISTA,0.4523413662512867
2024-01-07-00,RoVISTA,0.44266533968389377
2024-01-08-00,RoVISTA,0.44188151990511193
2024-01-09-00,RoVISTA,0.43297653004916914
2024-01-10-00,RoVISTA,0.42867302856288375
2024-01-11-00,RoVISTA,0.4272694402777436
2024-01-12-00,RoVISTA,0.4266886550975744
2024-01-13-00,RoVISTA,0.445497
2024-01-14-00,RoVISTA,0.443917
2024-01-15-00,RoVISTA,0.441181
2024-01-16-00,RoVISTA,0.433407
