date,case,matched_after,both_clients,roa_clients,rov_clients,neither_clients
2024-01-01-00,RoVISTA,0.454369,0.010905058768550337,0.6407611459948548,0.010689175401104551,0.3376446198354904
2024-01-02-00,RoVISTA,0.45717958373338746,0.0112949758878829,0.6548174355846875,0.009519668135509338,0.3243679203919201
2024-01-03-00,RoVISTA,0.45664678009378606,0.011341370422639684,0.6509915877324716,0.009516233587899865,0.32815080825698895
2024-01-04-00,RoVISTA,0.45454643502508557,0.011442266462601521,0.6496751017680996,0.009199009622346863,0.32968362214695157
2024-01-05-00,RoVISTA,0.4545985532641416,0.011321059212680826,0.653588218945594,0.008622800756370846,0.32646792108535405
2024-01-06-00,RoVISTA,0.4523413662512867,0.011928509890163483,0.6447001726575541,0.009458910816715462,0.33391240663556737
2024-01-07-00,RoVISTA,0.44266533968389377,0.013141175553618541,0.6223840725947408,0.010436160063243754,0.35403859178839686
2024-01-08-00,RoVISTA,0.44188151990511193,0.014772565379945025,0.6159473969889575,0.01153196087959509,0.3577480767515022
2024-01-09-00,RoVISTA,0.43297653004916914,0.01841921417171167,0.5846500894471812,0.014372519648984216,0.38255817673212283
2024-01-10-00,RoVISTA,0.42867302856288375,0.018294731860419855,0.5807957335655749,0.014953362857247977,0.385956171716757
2024-01-11-00,RoVISTA,0.4272694402777436,0.01822195516521776,0.5796659383831102,0.014902645235502615,0.3872094612161695
2024-01-12-00,RoVISTA,0.4266886550975744,0.018515624188237274,0.5782911859572527,0.014968101130670378,0.38822508872383954
