date,case,matched_after,both_clients,roa_clients,rov_clients,neither_clients
2024-04-01-00,RoVISTA,0.553541935158211,0.03654953810494688,0.6248712205508823,0.04418661421865054,0.2943926271255203
2024-04-02-00,RoVISTA,0.5535635285263161,0.037063622556653436,0.623129484227682,0.045019334886775404,0.2947875583288889
2024-04-03-00,RoVISTA,0.5546572704343844,0.03634404750113703,0.6285726770814374,0.04427852942499832,0.2908047459924274
2024-04-04-00,RoVISTA,0.5554327660700115,0.036001223478443534,0.6305598747460761,0.04412550087743186,0.28931340089804847
2024-04-05-00,RoVISTA,0.5552725934949523,0.035427177762475504,0.6292222996515143,0.0439382544979504,0.29141226808805976
2024-04-06-00,RoVISTA,0.5549763035681519,0.03532821760016478,0.6259864361519013,0.04493529262369361,0.2937500536242405
2024-04-07-00,RoVISTA,0.554526296426453,0.03527495114744663,0.6214826381538838,0.045395189098037914,0.2978472216006316
2024-04-08-00,RoVISTA,0.5529796338323753,0.03589028059552393,0.6165808382875493,0.046398179102375064,0.30113070201455183
2024-04-09-00,RoVISTA,0.5527038272443627,0.03592024541913758,0.6197111845292355,0.046929099931914076,0.2974394701197129
2024-04-10-00,RoVISTA,0.5531485081446345,0.03582057418969174,0.6213504730178872,0.046820224185035675,0.2960087286073853
