date,case,matched_after,both_clients,roa_clients,rov_clients,neither_clients
2024-03-02-00,RoVISTA,0.527847865375631,0.0317295320062624,0.6545939791377919,0.04277294619266616,0.27090354266327943
2024-03-03-00,RoVISTA,0.5308197023803063,0.031371628150833455,0.6593759379543203,0.0419879056586768,0.26726452823616953
2024-03-04-00,RoVISTA,0.5316106553694131,0.03342125880637352,0.6473426499924169,0.04401637997909019,0.2752197112221194
2024-03-05-00,RoVISTA,0.5304507966958935,0.03479150721191,0.6398429129611342,0.04561344410341035,0.2797521357235454
2024-03-06-00,RoVISTA,0.5311314404204293,0.03367860246582119,0.6472907881661981,0.044102655618047895,0.27492795374993284
2024-03-07-00,RoVISTA,0.532605456620034,0.03254165061755489,0.6524575519050483,0.04295757330789393,0.27204322416950283
2024-03-08-00,RoVISTA,0.5328614193918918,0.03308359931986497,0.648561242844954,0.04407911871381931,0.27427603912136195
2024-03-09-00,RoVISTA,0.533207146095319,0.03296378655144533,0.6528619116157017,0.04338954806033125,0.2707847537725217
2024-03-10-00,RoVISTA,0.5346015824728774,0.03233596131991873,0.6588489839451657,0.04263987706794064,0.266175177666975
2024-03-11-00,RoVISTA,0.5338370848408724,0.03224095869417625,0.6552110716903382,0.042896890477604824,0.2696510791378805
2024-03-12-00,RoVISTA,0.5336601810718344,0.0328275816783516,0.6504529139627356,0.04389751887554723,0.27282198548336545
2024-03-13-00,RoVISTA,0.5334730536790045,0.032823360668579694,0.6505662655837597,0.04387347853836974,0.2727368952092907
2024-03-14-00,RoVISTA,0.5342052169514615,0.03289990060740992,0.6505348159968918,0.04389271806089795,0.2726725653348003
2024-03-15-00,RoVISTA,0.5344948860450043,0.033123372518421165,0.6516560899855017,0.04121564975832396,0.274004887737753
2024-03-16-00,RoVISTA,0.5355116288526666,0.03311829097464949,0.6517889485218356,0.041222659322139164,0.2738701011813758
2024-03-17-00,RoVISTA,0.5354509031113671,0.03309663518104079,0.6518453558112576,0.04120820505078134,0.27384980395692016
2024-03-18-00,RoVISTA,0.5360270268843097,0.03346838221127061,0.6598218089730646,0.03931912272984164,0.267390686085823
2024-03-19-00,RoVISTA,0.5365343858615713,0.03402287910942133,0.6495428622435891,0.04173195348826952,0.27470230515871996
2024-03-20-00,RoVISTA,0.5368452864108609,0.033910345507552835,0.647705549192901,0.04204120400485739,0.2763429012946888
2024-03-21-00,RoVISTA,0.5369177048791558,0.03361792476562265,0.649821904893838,0.04173209024472842,0.27482808009581083
2024-03-22-00,RoVISTA,0.5384912191828902,0.03363308032045648,0.6498907739294035,0.04170823288986658,0.27476791286027336
2024-03-23-00,RoVISTA,0.5391211131846149,0.033644195641818676,0.6500677620244453,0.041722570696061334,0.27456547163767464
2024-03-24-00,RoVISTA,0.539783903385326,0.03180320078954485,0.6626613994145407,0.03986305801312089,0.2656723417827937
